priority;universe;block;page_type;target_scope;freshness_target;high_value_fields;score_role;evidence;acquisition_mode;governance
P0;ACTION;CONSENSUS_BULK;actions consensus recommendations market pages;France Germany Netherlands Belgium Spain Italy Portugal;DAILY_WHEN_CAPTURED;recommendation target upside analysts EPS forward dividend yield forward PER forward PER reported;CANONICAL_IF_EXACT_PLUS_CONTEXT;B;ATTRIBUTED_SAVED_PAGE;Bulk first and exact mapping only
P0;ACTION;VALUATION_BULK;actions palmares PER;markets covered by Boursorama;DAILY_OR_WEEKLY;PER current forward next year BNA current forward next year;CANONICAL_IF_EXACT_PLUS_CONTEXT;B;ATTRIBUTED_SAVED_PAGE;Current-year PER may feed per_forward_v21 only when semantics are explicit
P0;ACTION;DIVIDEND_BULK;actions palmares dividendes;markets covered by Boursorama;WEEKLY;dividend and yield by fiscal year;CANONICAL_IF_EXACT_PLUS_CONTEXT;B;ATTRIBUTED_SAVED_PAGE;Event yield never replaces annual yield
P0;ACTION;EXTREMES_52W_BULK;actions palmares extremes annuels;markets covered by Boursorama;DAILY;new 52w high low last variation volume intraday range;CONTEXT_SHADOW;B;ATTRIBUTED_SAVED_PAGE;Absence from list is not zero
P0;ACTION;COMPANY_CALENDAR;calendrier societes cotees;canonical Action universe;DAILY;next results revenue analyst meeting AGM report dividend event and time;CONTEXT_SHADOW;B;ATTRIBUTED_SAVED_PAGE;Do not relabel generic events as Finnhub earnings
P0;ETF;MORNINGSTAR_SEARCH;trackers recherche palmares;102 ETF;WEEKLY;Morningstar rating category explicit SRI risk performance price;CANONICAL_IF_EXACT_PLUS_CONTEXT;B;ATTRIBUTED_SAVED_PAGE;Rendered /7 without numerator remains missing
P1;ACTION;CONSENSUS_DETAIL;individual cours consensus;Committee Watch and missing consensus fields;DAILY_WHEN_CANDIDATE;3m 2m 1m 7d current opinion counts median note target history broker list forecasts;CANONICAL_IF_EXACT_PLUS_CONTEXT;B;ATTRIBUTED_SAVED_PAGE;FactSet inverse note scale normalized to existing canonical semantics
P1;ACTION;CONSENSUS_DEPTH;individual cours consensus;Committee Watch;DAILY_WHEN_CANDIDATE;bullish neutral bearish breadth net balance analyst firms raw list anonymity warning;CONTEXT_SHADOW;B;ATTRIBUTED_SAVED_PAGE;No new consensus breadth weight before PIT OOS
P1;ACTION;KEY_FIGURES;cours societe chiffres cles;Committee Watch and post-results candidates;AFTER_RESULTS_OR_WEEKLY;revenue operating income net income balance debt EPS margin financial return debt ratio quarterly revenue;CONTEXT_SHADOW;B;ATTRIBUTED_SAVED_PAGE;Cofisem histories require PIT OOS before factor promotion
P1;ACTION;TECHNICAL_TEC;cours analyses;Committee Watch TCT context;DAILY_WHEN_CANDIDATE;TEC summary MACD direction signal relation RSI stochastic state;CONTEXT_SHADOW_C;C;ATTRIBUTED_SAVED_PAGE;Never replaces internally computed PIT technical indicators
P1;ETF;ETF_DETAIL;individual tracker cours;102 ETF with missing structural fields;MONTHLY_OR_CHANGE;benchmark creation manager Morningstar category legal form asset class geography distribution replication management fee max;CONTEXT_PLUS_EXISTING_MORNINGSTAR_FIELDS;B;ATTRIBUTED_SAVED_PAGE;Management fee maximum is not TER
P1;ETF;ETF_PERFORMANCE;individual tracker cours performances;102 ETF;WEEKLY;ETF performance Morningstar category performance percentile rank calendar returns;CONTEXT_SHADOW;B;ATTRIBUTED_SAVED_PAGE;No V20.8.1 historical attribution to new fields
P1;ETF;ETF_COMPOSITION;individual tracker composition;102 ETF and shortlisted candidates;MONTHLY_OR_CHANGE;net assets portfolio date top10 holdings Morningstar data date;CONTEXT_SHADOW;B;ATTRIBUTED_SAVED_PAGE;Portfolio date retained for freshness
P2;ACTION;PROFILE;cours societe profil;all Actions progressively and all shortlisted candidates;MONTHLY_OR_CHANGE;sector reference index market cap PER yield dividend employees shares market segment ESG company context;CANONICAL_IF_EXACT_PLUS_CONTEXT;B;ATTRIBUTED_SAVED_PAGE;Use exact ISIN and do not infer missing fields
P2;ACTION;DIVIDEND_CALENDAR;calendrier dividendes;income-sensitive candidates;WEEKLY;next dividend event date amount event yield days;CONTEXT_SHADOW;B;ATTRIBUTED_SAVED_PAGE;Displayed event yield is not annual canonical dividend yield
